JOBID PARTITION NAME USER STATE TIME TIME_LIMIT NODES NODELIST(REASON) PRIORITY
6633872 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q4JGI_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633871 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q3JGI_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633870 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepJGI5.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633869 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepJGI4.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633868 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepJGI3.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633867 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepJGI2.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633866 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepJGI.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633865 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA5.hh3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633864 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA5.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633863 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA5.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633862 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA4.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633861 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA4.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633860 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA3.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633859 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA3.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633858 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA2.hh3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633857 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA2.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633856 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA2.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633855 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA.hh3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633854 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633853 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633852 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-AlphaFold2_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633851 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA5_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633850 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA4_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633849 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633848 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA2_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633847 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633846 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA15.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633845 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA14.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633844 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA13.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633843 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA13.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633842 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA11.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633841 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA11.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633840 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA10.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633839 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA9.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633838 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA8.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633837 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA7.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633834 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA6.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633829 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA6.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633824 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA5.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633820 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA5.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633815 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA4.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633810 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA3.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633806 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA3.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633802 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA3.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633797 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA2.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633792 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA2.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
